corredor,viajes,toneladas,ton_prom,cv_mensual_%,tendencia_mes,crecimiento_%
BUENAVENTURA -> SOGAMOSO,76,1987.071,26.145671052631577,94.2,-0.08,-34.1
IBAGUE -> SANTA MARTA,76,2603.0,34.25,177.9,-1.01,-430.6
SOACHA -> ZIPAQUIRA,75,683.465,9.112866666666667,56.0,-0.18,-77.8
BUENAVENTURA -> SOPO,75,2020.792,26.94389333333333,383.4,0.01,4.3
SOPO -> YOPAL,74,2258.262,30.517054054054057,48.6,-0.21,-91.9
ENVIGADO -> BELLO,74,156.76,2.1183783783783783,83.4,-0.0,-0.0
SONSON -> BOGOTA D.C.,73,2482.0,34.0,126.4,0.0,0.0
SOPO -> FUSAGASUGA,73,1241.011,17.000150684931505,57.0,0.08,35.5
SOPO -> JAMUNDI,72,1102.903,15.318097222222223,67.0,-0.35,-157.5
SONSON -> LA VIRGINIA,71,2414.0,34.0,82.3,0.38,173.4
RIONEGRO -> RETIRO,70,207.818,2.968828571428572,65.9,0.16,74.1
GIRARDOTA -> LA CEJA,70,196.047,2.8006714285714285,46.6,-0.08,-37.0
SOACHA -> RIONEGRO,69,2106.08,30.522898550724637,145.2,0.75,352.2
ITAGUI -> BOGOTA D.C.,69,2299.0,33.31884057971015,97.3,-0.01,-4.7
CALDAS -> GUARNE,68,375.894,5.52785294117647,55.6,-0.06,-28.6
GIRARDOTA -> TURBO,68,654.208,9.62070588235294,93.7,0.49,233.5
MADRID -> ANOLAIMA,67,636.5,9.5,43.0,-0.01,-4.8
SOACHA -> GIRON,67,1471.651,21.964940298507464,68.8,0.3,145.1
MADRID -> DOSQUEBRADAS,67,929.969,13.88013432835821,65.7,0.01,4.8
GIRARDOTA -> BUCARAMANGA,67,1206.706,18.010537313432835,93.9,-0.22,-106.4
SABANAGRANDE -> ARJONA,67,437.794,6.534238805970149,63.0,-0.02,-9.7
SOACHA -> TUNJA,67,589.8389999999999,8.803567164179103,42.0,-0.03,-14.5
SONSON -> PITALITO,66,2067.0,31.318181818181817,91.2,-0.21,-103.1
RIONEGRO -> APARTADO,65,1523.612,23.440184615384617,37.0,0.04,19.9
CALDAS -> BARRANQUILLA,65,276.23199999999997,4.249723076923076,31.7,0.12,59.8
BOGOTA D.C. -> CALI,65,1268.704,19.518523076923078,30.2,0.02,10.0
GIRARDOTA -> IPIALES,64,691.23,10.80046875,47.5,-0.08,-40.5
BUCARAMANGA -> FLORIDABLANCA,64,567.2379999999999,8.863093749999999,140.2,0.73,369.6
MADRID -> IPIALES,64,1334.962,20.85878125,132.0,-0.06,-30.4
RIONEGRO -> COPACABANA,63,194.74,3.091111111111111,61.4,0.06,30.9
SABANAGRANDE -> GALAPA,62,970.731,15.656951612903226,57.4,-0.01,-5.2
GIRARDOTA -> GALAPA,62,493.2,7.95483870967742,57.4,0.17,88.8
SOACHA -> FLORENCIA,62,1988.721,32.07614516129032,42.5,-0.05,-26.1
SABANAGRANDE -> SOPO,62,1240.0,20.0,43.7,-0.05,-26.1
GIRARDOTA -> SOLEDAD,62,447.431,7.216629032258064,44.8,0.02,10.5
MADRID -> GIRARDOT,61,572.54,9.385901639344262,51.7,0.09,47.8
SOPO -> MAICAO,61,1837.363,30.12070491803279,49.7,-0.04,-21.2
MADRID -> MALAMBO,61,1866.335,30.59565573770492,47.6,0.05,26.6
SABANETA -> APARTADO,60,1743.484,29.058066666666665,42.4,0.08,43.2
GIRARDOTA -> PALMIRA,59,266.6,4.51864406779661,60.8,0.0,0.0
BOGOTA D.C. -> FUSAGASUGA,59,557.0,9.440677966101696,96.9,0.29,159.3
MADRID -> RIONEGRO,59,781.199,13.240661016949153,48.9,-0.2,-109.8
GIRARDOTA -> BARBOSA,59,305.538,5.178610169491526,69.3,0.16,87.9
SOACHA -> SABANETA,58,1645.8120000000001,28.376068965517245,217.3,-0.28,-156.4
MADRID -> MANIZALES,58,1011.359,17.437224137931036,89.4,0.21,117.3
MADRID -> BARRANCABERMEJA,58,343.985,5.930775862068966,55.9,0.02,11.2
SABANETA -> CARTAGO,57,888.4,15.585964912280701,46.3,0.06,34.1
GIRARDOTA -> FUSAGASUGA,57,506.009,8.877350877192983,67.9,-0.09,-51.2
PALMAR DE VARELA -> ITAGUI,57,1884.633,33.063736842105264,101.8,0.3,170.5
MADRID -> LA DORADA,57,312.498,5.482421052631579,40.9,-0.12,-68.2
BOGOTA D.C. -> BARRANQUILLA,57,1338.196,23.477122807017544,32.9,0.05,28.4
SONSON -> ARMENIA,57,1907.4,33.463157894736845,79.8,-0.21,-119.4
MADRID -> TENJO,56,343.464,6.133285714285714,66.0,0.24,138.9
SONSON -> GARZON,55,1820.0,33.09090909090909,64.0,-0.18,-106.0
SOACHA -> VILLA DE LEYVA,55,468.956,8.526472727272727,38.0,-0.03,-17.7
CALDAS -> RIONEGRO,55,234.84799999999998,4.269963636363636,54.4,0.08,47.1
CARTAGENA -> FUNZA,55,229.109,4.165618181818182,60.9,0.02,11.8
GIRARDOTA -> CUCUTA,54,405.182,7.50337037037037,142.3,0.27,162.0
